id	text
ParlaMint-UA_2016-05-17-m1.u1.p1.sent1	Шановні колеги, час, відведений для перерви, завершений.
ParlaMint-UA_2016-05-17-m1.u1.p1.sent2	Я дуже прошу шановних колег народних депутатів заходити в зал і приготуватися до роботи.
ParlaMint-UA_2016-05-17-m1.u1.p2.sent1	Поки депутати народні заходять в зал, я хочу повідомити про непорозуміння, яке сталося перед перервою.
ParlaMint-UA_2016-05-17-m1.u1.p2.sent2	Наступним у порядку денному стояв не законопроект Альони Шкрум.
ParlaMint-UA_2016-05-17-m1.u1.p2.sent3	Альона, прошу уваги!
ParlaMint-UA_2016-05-17-m1.u1.p2.sent4	Альона.
ParlaMint-UA_2016-05-17-m1.u1.p2.sent5	Був не законопроект Альони Шкрум, він мав бути через кілька.
ParlaMint-UA_2016-05-17-m1.u1.p2.sent6	Вона у той час зустрічалася із французьким послом.
ParlaMint-UA_2016-05-17-m1.u1.p2.sent7	Але разом з тим, хочу повідомити, що навіть зустріч з послом, навіть зустріч з міжнародними делегаціями не є підставою, щоб не бути в залі пленарних засідань під час прийняття рішень.
ParlaMint-UA_2016-05-17-m1.u1.p3.sent1	Я дуже прошу всіх колег народних депутатів, плануючи свої зустрічі, важливі і відповідальні, не призначати їх під час прийняття рішень, тому що в нас стоять закони великої ваги, і наша відповідальність перед громадянами, перед українцями, які нас обирали, полягає у тому, щоб ми були в залі і працювали.
ParlaMint-UA_2016-05-17-m1.u1.p3.sent2	І тому закликаю усіх планувати міжнародні зустріч так, щоб вони не попадали в час пленарних засідань.
ParlaMint-UA_2016-05-17-m1.u1.p3.sent3	Дякую дуже вам, колеги.
ParlaMint-UA_2016-05-17-m1.u1.p4.sent1	Тепер я хотів би з вами порадитись по одному питанню.
ParlaMint-UA_2016-05-17-m1.u1.p4.sent2	Але прошу заходити в зал, приготуватися до реєстрації, а потім ми проведемо маленьку нараду з приводу наступного порядку денного.
ParlaMint-UA_2016-05-17-m1.u1.p5.sent1	Колеги, ми готові до реєстрації?
ParlaMint-UA_2016-05-17-m1.u1.p5.sent2	Прошу заходити в зал, приготуватися до реєстрації.
ParlaMint-UA_2016-05-17-m1.u1.p6.sent1	Шановні колеги, прошу зареєструватися.
ParlaMint-UA_2016-05-17-m1.u1.p6.sent2	Будь ласка, реєструємося.
ParlaMint-UA_2016-05-17-m1.u1.p7.sent1	328 народних депутатів зареєстровано в залі.
ParlaMint-UA_2016-05-17-m1.u1.p7.sent2	328 – це перемога.
ParlaMint-UA_2016-05-17-m1.u1.p8.sent1	Шановні колеги, ми, очевидно, будемо окремо приймати рішення, як нам бути з тим, чи в нас зареєстровані карточки, чи в нас зареєстровані депутати.
ParlaMint-UA_2016-05-17-m1.u1.p8.sent2	Я думаю, що лишень письмова реєстрація може бути ознакою того, що депутати є в залі.
ParlaMint-UA_2016-05-17-m1.u1.p8.sent3	Бо у нас карточки в залі.
ParlaMint-UA_2016-05-17-m1.u2.p1.sent1	Шановні колеги, я просто проведу з того приводу нараду.
ParlaMint-UA_2016-05-17-m1.u2.p1.sent2	Я підтримую пропозицію Володі, що для нас письмова реєстрація буде ознакою, бо електронна реєстрація дуже часто є просто профанацією, просто профанацією.
ParlaMint-UA_2016-05-17-m1.u2.p2.sent1	Дякую дуже вам, колеги.
ParlaMint-UA_2016-05-17-m1.u2.p2.sent2	Вечірнє засідання Верховної Ради України оголошую відкритим.
ParlaMint-UA_2016-05-17-m1.u2.p3.sent1	І я хотів би з вами порадитися по наступному питанню.
ParlaMint-UA_2016-05-17-m1.u2.p3.sent2	Будь ласка, колеги, увага!
ParlaMint-UA_2016-05-17-m1.u2.p3.sent3	Коли я хочу порадитися із залом, я хотів би, щоб зал мене чув.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent1	Ми сьогодні включили в порядок денний сесії проект Закону про внесення змін до підпункту 4 пункту 24 розділу VI "Прикінцеві та перехідні положення" Бюджетного кодексу України.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent2	Цей закон передбачає перерозподіл залишків коштів місцевих бюджетів населених пунктів, на території яких органи державної влади тимчасово не здійснюють своїх повноважень.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent3	Це питання ініціюють наші депутати-мажоритарники з Донецької, Луганської областей, і, наскільки мені відомо, це питання повністю об’єднує зал. Дане питання пройшло комітет.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent4	На комітеті воно було одноголосно підтримано усіма членами комітету.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent5	Ми його включили до обіду в порядок денний і тому маємо повне право по Регламенту зараз його поставити на розгляд, якщо з того приводу не буде ніяких заперечень в залі.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent6	Воно теж відноситься до тих законопроектів, які потребують невідкладного рішення для тих територій, які сьогодні є під окупацією.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent7	І тому я хотів би просто навіть неформально порадитись з вами, чи можемо ми його поставити і почати його розгляд?
ParlaMint-UA_2016-05-17-m1.u2.p4.sent8	У нас буде обговорення тривати не менше 15-20 хвилин.
ParlaMint-UA_2016-05-17-m1.u2.p4.sent9	У нас є шанс, що за той період депутати підійдуть в зал. Тому давайте просто відверто обміняємося думками.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent1	"Самопоміч" підтримує цю пропозицію?
ParlaMint-UA_2016-05-17-m1.u2.p5.sent2	Обговорення підтримує.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent3	"Батьківщина"?
ParlaMint-UA_2016-05-17-m1.u2.p5.sent4	Підтримуєте.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent5	"Блок Петра Порошенка" підтримує цю пропозицію – "так", поставити.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent6	"Народний фронт", підтримуєте поставити?
ParlaMint-UA_2016-05-17-m1.u2.p5.sent7	"Відродження", "Воля народу", ви підтримуєте даний законопроект?
ParlaMint-UA_2016-05-17-m1.u2.p5.sent8	Підтримуєте.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent9	"Опозиційний блок", хто відповідає за це питання?
ParlaMint-UA_2016-05-17-m1.u2.p5.sent10	Підтримуєте, так?
ParlaMint-UA_2016-05-17-m1.u2.p5.sent11	Це може бути законопроект, який об’єднає весь зал, тому що він.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent12	"Радикальна партія"?
ParlaMint-UA_2016-05-17-m1.u2.p5.sent13	Законопроект, який передбачає.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent14	Позафракційні не заперечують.
ParlaMint-UA_2016-05-17-m1.u2.p5.sent15	Шановні колеги, весь зал підтримує, щоб зараз ми могли цей законопроект поставити на розгляд.
ParlaMint-UA_2016-05-17-m1.u2.p6.sent1	І тому я оголошую першим нашим питанням розгляд проекту Закону щодо перерозподілу залишків коштів місцевих бюджетів населених пунктів, на території яких органи державної влади тимчасово не здійснюють своїх повноважень.
ParlaMint-UA_2016-05-17-m1.u2.p7.sent1	Це є проект Закону 4623.
ParlaMint-UA_2016-05-17-m1.u2.p8.sent1	І у мене пропозиція від автора, народного депутата України Єфімова Максима Вікторовича, щоб ми його розглядали за скороченою процедурою.
ParlaMint-UA_2016-05-17-m1.u2.p8.sent2	І я прошу колег народних депутатів цю пропозицію взяти до уваги, автора і також комітету.
ParlaMint-UA_2016-05-17-m1.u2.p9.sent1	Зараз я поставлю на голосування пропозицію розгляду за скороченою процедурою.
ParlaMint-UA_2016-05-17-m1.u2.p9.sent2	Я прошу всіх зайняти робочі місця, підготуватись до голосування.
ParlaMint-UA_2016-05-17-m1.u2.p9.sent3	Колеги, будь ласка, заходимо в зал, готуємось до голосування.
ParlaMint-UA_2016-05-17-m1.u2.p10.sent1	Отже, хто підтримує пропозицію розгляду проекту Закону про внесення зміни до підпункту 4 пункту 24 розділу VI "Прикінцеві та перехідні положення" Бюджетного кодексу України (номер 4623) розгляду за скороченою процедурою.
ParlaMint-UA_2016-05-17-m1.u2.p10.sent2	Хто підтримує дану пропозицію, прошу проголосувати.
ParlaMint-UA_2016-05-17-m1.u2.p10.sent3	Колеги, будь ласка, голосуємо за скорочену процедуру.
ParlaMint-UA_2016-05-17-m1.u2.p10.sent4	Будь ласка, голосуємо.
ParlaMint-UA_2016-05-17-m1.u2.p11.sent1	За-130
ParlaMint-UA_2016-05-17-m1.u2.p12.sent1	130 – "за".
ParlaMint-UA_2016-05-17-m1.u2.p13.sent1	Колеги, я поставлю ще раз цю пропозицію.
ParlaMint-UA_2016-05-17-m1.u2.p13.sent2	Якщо не буде необхідної кількості голосів, будемо розглядати його за повною процедурою.
ParlaMint-UA_2016-05-17-m1.u2.p13.sent3	Я прошу, колеги, тут питання насправді дуже просте.
ParlaMint-UA_2016-05-17-m1.u2.p13.sent4	Я сам є прихильником того, щоб ми важливі законопроекти розглядали за повною процедурою, але даний, мені видається, можна було б розглянути і скороченою.
