id	text	language
ParlaMint-UA_2009-09-22-m1.u1.p1.sent1	Шановні колеги, прошу займати свої місця для того, щоб ми могли продовжити роботу.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p2.sent1	Прошу, шановні колеги, підготуватися до реєстрації.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p2.sent2	Ввімкніть систему „Рада”.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p3.sent1	Зареєструвалися в сесійній залі 431 народний депутат.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p3.sent2	Вечірнє засідання Верховної Ради України оголошую відкритим.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p4.sent1	Шановні колеги, ми з вами домовлялися, що після ранкового засідання на вечірньому засіданні ми перейдемо до прийняття рішення з приводу законопроектів про встановлення прожиткового мінімуму та мінімальної заробітної плати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p4.sent2	Разом з тим, дві фракції – фракція Регіонів і фракція Комуністичної партії – вимагають оголосити перерву на 30 хвилин для проведення консультацій.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent1	Шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent2	Я ще раз хочу вам сказати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent3	Я. я ще раз хочу вам сказати, от поклали.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent4	Так в мене питання.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent5	Ну, я прошу вас.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent6	Іване Григоровичу!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent7	Іване Григоровичу!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent8	Ну ви ж прекрасно все розумієте.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p5.sent9	Так треба проводити засідання Погоджувальної ради чи ви будете просто проводити консультації?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p6.sent1	Будь ласка, ініціатори.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u1.p6.sent2	Олександр Сергійович Єфремов, мікрофон.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u2.p1.sent1	Уважаемый Владимир Михайлович, уважаемые коллеги!	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u2.p1.sent2	Мы бы просили, чтобы у вас в кабинете собралась Погоджувальна рада и выяснила целый ряд вопросов по поводу дальнейшего голосования по данному законопроекту.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u3.p1.sent1	Шановні народні депутати!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p1.sent2	Я прошу вас!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p1.sent3	Зараз ми проведемо засідання, тільки за однієї умови, що коли приймалося рішення про те, щоб кожен депутат поіменно висловив свою позицію з приводу цих законопроектів, то це означало навпаки, що було прийнято усвідомлення рішення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p1.sent4	І не потрібно звинувачувати, у тому числі головуючого, що він поступив неправильно.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p2.sent1	Або давайте поступимо у такий спосіб, я попереджую можливі запитання: проведемо реєстрацію біля столів.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p2.sent2	Зареєструвалися.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p2.sent3	Хто не зареєструвався – вилучимо картки.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p2.sent4	Проголосуємо.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p2.sent5	Відмінимо тоді те рішення, проголосуємо карками.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p2.sent6	Але згідно з Конституцією, я нагадую це для вас, кожен депутат має голосувати персонально.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p3.sent1	Тому прошу, будь ласка, керівники фракцій, голова бюджетного комітету, збираємося.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p3.sent2	Я хочу ще раз сказати, я жодним чином не порушую Регламент.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p3.sent3	Я провів консультації з юридичним управлінням.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p3.sent4	І автору хочу сказати, шановні колеги, жодного порушення немає.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p3.sent5	Все.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u3.p4.sent1	Оголошується перерва до 16 годин 35 хвилин.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u3.p4.sent2	Керівників фракцій прошу зібратися у кабінеті Голови.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p1.sent1	Шановні народні депутати!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p1.sent2	Дозвольте поінформувати вас про результати засідання Погоджувальної ради.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p2.sent1	На засіданні Погоджувальної ради обговорювалось ряд пропозицій, а саме: це рішення Верховної Ради України про зміну способу голосування щодо законопроектів про державні соціальні стандарти.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p3.sent1	Перша пропозиція зводилась до того, щоб поставити на голосування Верховної Ради України пропозицію про скасування рішення Верховної Ради України про прийняття постанови про спосіб голосування щодо законів, які стосуються соціальних стандартів.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p4.sent1	Друга пропозиція зводилась до того, щоб відкласти голосування, скажімо, на четвер.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p4.sent2	Треба.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p4.sent3	одну хвилинку.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p4.sent4	У першому і другому випадках треба голосувати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p4.sent5	Була пропозиція провести рейтингове голосування щодо цих законопроектів, і який набере найбільшу кількість голосів, розглядати його для прийняття за основу.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p4.sent6	Ця пропозиція була відразу заблокована у зв’язку з тим, що не можна проводити рейтингове голосування щодо законопроектів.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p4.sent7	Треба приймати остаточне рішення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p5.sent1	Була спроба знайти компроміс у тій частині, що Верховна Рада України підтримає пропозицію про відкладення прийняття рішення до четверга із соціальних стандартів.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p5.sent2	А в свою чергу завтра, о 10-ій годині розпочне роботу Верховної Ради України з розгляду, наголошую, всіх пропозицій щодо кадрових змін.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p5.sent3	Усіх, які поступили від депутатів і від Кабінету Міністрів України.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p6.sent1	Разом з тим, жодна із цих пропозицій не знайшла підтримки.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p6.sent2	Тому я пропоную поступити в такий спосіб – те, що пропонувалось на Погоджувальній раді.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p6.sent3	Я поставлю на голосування всі пропозиції.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p6.sent4	Якщо Верховна Рада України не підтримає їх, а саме: першу пропозицію про скасування рішення Верховної Ради України про прийняття постанови парламенту про зміну способу голосування щодо законопроектів про державні соціальні стандарти.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p6.sent5	Якщо ця пропозиція не буде підтримана, друга пропозиція: про відтермінування прийняття рішення з приводу законопроектів щодо державних соціальних стандартів на четвер.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p6.sent6	Якщо друга пропозиція не буде підтримана, то ми тоді будемо виконувати рішення Верховної Ради України і голосувати в той спосіб, який визначала Верховна Рада України.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p7.sent1	Шановні колеги!	UKRAINIAN
